HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MITOTIC_SPINDLE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_DNA_REPAIR,HALLMARK_G2M_CHECKPOINT,HALLMARK_APOPTOSIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_MYOGENESIS,HALLMARK_PROTEIN_SECRETION,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_COMPLEMENT,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_P53_PATHWAY,HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_DN,HALLMARK_ANGIOGENESIS,HALLMARK_HEME_METABOLISM,HALLMARK_COAGULATION,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PEROXISOME,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_SPERMATOGENESIS,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_PANCREAS_BETA_CELLS
JUNB,ATF3,ATF3,MARCKS,JAG1,JUNB,CXCL1,PDE4B,MYC,ATF3,JAG1,GADD45A,EGR3,ZFP36,SGK1,HBEGF,ABCA1,RIPK2,NFKBIA,ICAM1,PLAUR,ETS2,TNFAIP3,ATF3,SQSTM1,PPP1R15A,MYC,MYC,DUSP2,TNFAIP3,NFKBIA,ETS2,G0S2,GPI,IER3,JUNB,ATF3,JUNB,DUSP1,JAG1,BTG2,MAFF,CD83,ABCA1,SOD2,ICAM1,GAPDHS,TNFAIP3,NR4A2,GCK
CXCL2,TNFAIP3,PLAUR,PDLIM5,MYC,PPP1R15A,CXCL3,SAC3D1,MARCKS,IER3,CCND1,PFKFB3,BHLHE40,EGR3,ZBTB10,BHLHE40,EGFR,CXCL10,TNFAIP3,TRAF1,B4GALT1,VEGFA,CXCL1,CCL2,MAP2K3,BTG2,CDKN1A,PGK1,MYC,CXCL1,CCL20,GCH1,ALDOA,LDHA,CD44,SOD2,IER3,CXCL2,F3,VEGFA,MAP2K3,F3,MAFF,PRDX5,PRDX5,IL1B,TKTL1,PTGS2,BTG2,PKLR
ATF3,IER3,JAG1,MYH9,RBPJ,SERPINE1,JUN,TP53,CCND1,BIRC3,HES1,TANK,TIPARP,DUSP2,SAT1,GADD45B,ATP7A,IFIT2,PTGS2,LAMB3,SRPX,VLDLR,MAFF,VEGFA,CDKN1A,BHLHE40,CDKN1B,LDHA,HK2,PLAUR,HBEGF,SERPINE1,LDHA,ECH1,VEGFA,PFKP,HBEGF,ATF3,NFKB1,OLR1,MXI1,SERPINB2,KLF6,SULT2B1,SULT2B1,IL6,SLC2A5,CCL20,SERPINB2,AKT3
NFKBIA,MAFF,NFIL3,ARHGEF2,CTNNB1,ID2,IL1B,POLR2H,SMAD3,JUN,SAP30,STAT5A,CD44,CD44,PMEPA1,CDKN1A,TPD52,IRF1,TNFAIP2,B4GALT1,SHROOM2,MYH9,PLAUR,TUBB2A,PDK1,NFIL3,RACGAP1,YWHAE,TMEM97,JUN,KLF6,ID2,ENO3,LRPPRC,B4GALT1,GLRX,JUN,NFKBIA,BHLHE40,STC1,SLC2A1,SERPINE1,TRAF1,IDI1,FDPS,TNF,LDHC,HBEGF,SGK1,NKX6-1
TNFAIP3,KLF6,PNRC1,CLASP1,GNAI1,IFNGR2,MAP3K8,POLR2A,BCL3,EGR3,PRKCA,ABCA1,MYC,SGK1,B4GALT1,SPHK1,PAM,CXCL11,ICAM1,EGFR,IL2RG,NF1,F3,CEBPB,SLC2A1,NAMPT,KIF2C,CUL1,PLK1,SDC4,PLAUR,KYNU,GAPDHS,RHOT2,IRS2,ERCC2,PPP1R15A,ICAM1,SERPINE1,S100A4,P4HA2,PLAU,MAP3K8,FADS2,IDI1,LIF,KIF2C,BIRC3,SNN,DPP4
PTGS2,PLAUR,LDLR,KIF11,JAG2,PMEPA1,IL6,POLR2G,SAP30,IL1B,NOTCH2,BCL6,FOS,ID2,CCND1,PPFIA4,KIF1B,CSF1,SOD2,SDC3,EFNA5,RASA1,IL6,DDIT4,EGFR,SQSTM1,BIRC5,HDAC2,PLK4,IL6,ICAM1,NINJ1,MIF,POLR2F,PGK1,GPX4,IL1A,SOD2,MYC,LPL,BNIP3L,OLR1,LIF,ABCA2,ECH1,CCL4,TTK,PLAUR,CD80,SRPRB
CXCL1,ZFP36,ALDOC,KIF23,NOTCH1,KLF10,TNF,POLR2E,CDKN1B,SOD2,NOTCH1,GBE1,AREG,BTG3,TNFAIP8,IGFBP3,DST,CCRL2,IL6,TGFBI,HSPB1,OPHN1,EHD1,STC2,CDKN1B,MAP2K3,KIF4A,PCNA,MCM5,PTX3,IL1B,PDLIM5,GRHPR,SURF1,ALDOA,GPX3,BTG2,BTG2,LDLR,JAG2,NR3C1,PLEK,PHLDA1,BCAR3,TOP2A,CCL2,NEK2,IL1B,IL12B,SEC11A
IER3,JUN,PDK3,ALS2,DLL1,TGIF1,CXCL10,POLR2J,MT2A,IL1A,DLL1,PFKL,KLF4,FOS,TSC22D1,PYGM,ARFGEF1,TAP1,NFKB1,MYH9,APP,PTCH1,DUSP5,IGFBP1,DDIT3,CDKN1A,BRCA2,NCBP2,NOLC1,GEM,IL1A,HMOX1,IDI1,GPX4,ENO2,SOD1,LIF,IL6,ATP2B1,CCND2,FOXO3,KLF7,CXCL10,RETSAT,ERCC3,RIPK2,CDK1,PPP1R15A,EDN1,SPCS1
CD83,PPP1R15A,ERRFI1,ARF6,AXIN2,SMAD3,SOCS3,POLR2F,SQLE,BTG2,PSEN2,ALDOA,KLF10,AREG,PDLIM5,STC2,TSG101,IFIH1,GCH1,MVD,BRCA1,HEY2,SERPINB2,KDELR3,CXCR4,LDLR,PLK1,NME1,CDK4,GADD45A,BTG2,IGFBP1,HMGCS1,COX17,HK2,GSR,IER5,NR4A1,SMAD3,PF4,SELENBP1,PDGFB,BHLHE40,SOD1,ERCC1,INHBA,AURKA,TRAF1,CHST2,VDR
